,Single_Person,Family,Retired_Couple
2025-01-01 00:00:00,0.07891113112715686,0.14655422600182388,0.051805031059183416
2025-01-01 01:00:00,0.06016931521720403,0.06833492094496492,0.1062987107456603
2025-01-01 02:00:00,0.11721250427236901,0.06417673047830635,0.11905233115420348
2025-01-01 03:00:00,0.11185918243958298,0.06558493122338759,0.05243324147470487
2025-01-01 04:00:00,0.17619144491726857,0.07378299191245807,0.10468771014595499
2025-01-01 05:00:00,0.060349143138318455,0.1725891548255941,0.11272130790420616
2025-01-01 06:00:00,1.1870599191286835,0.1619771092118223,0.970341536138451
2025-01-01 07:00:00,0.3378483801217115,1.000884734249113,0.1795670491197954
2025-01-01 08:00:00,0.22530004115474803,0.0978701331463872,0.6712738306773046
2025-01-01 09:00:00,0.13539620118189466,1.129451219754284,0.222921924931327
2025-01-01 10:00:00,0.10400918841058823,0.44502436270654183,0.75565024600668
2025-01-01 11:00:00,0.06031606747490292,0.2862162069560986,0.6279056958748214
2025-01-01 12:00:00,0.0774526404526665,0.13677443942322431,0.40633875328309127
2025-01-01 13:00:00,0.1339703585400881,0.16897561683441342,0.12740870851099836
2025-01-01 14:00:00,0.14159052186219254,0.23867266631871303,0.3282687643408303
2025-01-01 15:00:00,0.08000157911461077,0.17830744416771305,0.9330261264596811
2025-01-01 16:00:00,0.060205928762363844,0.48809690960544566,0.222437499459131
2025-01-01 17:00:00,0.06765797664812802,1.1493203833107433,0.4021518327370047
2025-01-01 18:00:00,0.5998098230231761,1.2046286804923931,0.4150790948353932
2025-01-01 19:00:00,0.942909879340282,0.6766471443653828,0.12758873894673903
2025-01-01 20:00:00,1.453127317109486,3.1116545783021747,0.4083876221087322
2025-01-01 21:00:00,0.4681032030684846,2.4620220139716027,0.4748572427331945
2025-01-01 22:00:00,0.2156518250477309,0.1478137637545692,0.10696363394785836
2025-01-01 23:00:00,0.16211356333601995,0.12894095754948537,0.052481048387845945
2025-01-02 00:00:00,0.09424707629422086,0.0812610923031442,0.0523041116962895
2025-01-02 01:00:00,0.0605488269765567,0.13246989587319674,0.13781485937846571
2025-01-02 02:00:00,0.06042649275258589,0.07317560990828265,0.0801776734532954
2025-01-02 03:00:00,0.12206410915240305,0.06550170429052855,0.05296175749399144
2025-01-02 04:00:00,0.17159787605079382,0.06646880419254057,0.11642303003369338
2025-01-02 05:00:00,0.08753986134289576,0.07176612090797758,0.2779368949389906
